id,first_name,last_name,player_type,active,bats,throws,birth_year,bbref_id,mlb_id,bp_id,cbs_id,espn_id,fg_id
brantmi02,Michael,Brantley,h,1,l,l,1987,brantmi02,488726,49264,1103277,30043,4106
brantro01,Rob,Brantly,h,1,l,r,1989,brantro01,542963,65953,1794304,31133,10655
brasiry01,Ryan,Brasier,p,1,r,r,1987,brasiry01,518489,55617,1661452,30189,5615
braulst01,Steven,Brault,p,1,l,l,1992,braulst01,643230,103318,2169051,33870,15291
braunry02,Ryan,Braun,h,1,r,r,1983,braunry02,460075,47127,1103045,28721,3410
bravoda01,Daniel,Bravo,h,1,r,r,1995,,614171,100402,,,sa657827
braybi01,Bill,Bray,p,1,l,l,1983,braybi01,435538,45609,547589,6487,8538
brebbjo01,John,Brebbia,p,1,l,r,1990,brebbjo01,605154,70432,2821662,39085,12777
bregmal01,Alex,Bregman,h,1,r,r,1994,bregmal01,608324,70607,2184351,34886,17678
brennbr01,Brandon,Brennan,p,1,r,r,1991,,592165,68518,2210215,34852,sa550121
brentbr01,Bryce,Brentz,h,1,r,r,1988,brentbr01,518490,65858,1755279,31452,10607
breslcr01,Craig,Breslow,p,1,l,l,1980,breslcr01,444520,33059,557093,6365,4363
brettry01,Ryan,Brett,h,1,r,r,1991,brettry01,592166,66939,2118902,31769,12138
brewech01,Charles,Brewer,p,1,r,r,1988,brewech01,502033,59271,1804845,31223,9155
briceau01,Austin,Brice,p,1,r,r,1992,briceau01,592169,66940,2118904,31722,17237
bridwpa01,Parker,Bridwell,p,1,r,r,1991,bridwpa01,592170,66941,2118843,31607,11502
brighja01,Jake,Brigham,p,1,r,r,1988,brighja01,502010,50088,1804330,31203,2851
brignre01,Reid,Brignac,h,1,l,r,1986,brignre01,458582,45395,1205546,28707,8380
brinsle01,Lewis,Brinson,h,1,r,r,1994,brinsle01,621446,100634,2044517,32819,14352
britoso01,Socrates,Brito,h,1,l,l,1992,britoso01,593647,67422,1962877,32485,12944
brittdr01,Drake,Britton,p,1,l,l,1989,brittdr01,518493,58100,1804447,31257,2868
brittza01,Zach,Britton,p,1,l,l,1987,brittza01,502154,50155,1733482,31054,3240
broadmi01,Mike,Broadway,p,1,r,r,1987,broadmi01,458678,47145,1795904,31112,9894
brookaa01,Aaron,Brooks,p,1,r,r,1990,brookaa01,605156,69523,2113510,33124,12272
brothre01,Rex,Brothers,p,1,l,l,1987,brothre01,571521,59607,1757974,31083,9794
brownan02,Andrew,Brown,h,1,r,r,1984,brownan02,518500,55633,1811889,31409,3837
brownbr02,Brooks,Brown,p,1,l,r,1985,brownbr02,453156,51924,1531175,29794,5679
brownco01,Corey,Brown,h,1,l,l,1985,brownco01,446395,55635,1602160,30629,2650
browndo01,Domonic,Brown,h,1,l,l,1987,browndo01,502126,50138,1597678,29673,3154
brownga02,Gary,Brown,h,1,r,r,1988,brownga02,518502,65859,1765804,31014,11464
brownjo05,Jordan,Brown,h,1,l,l,1983,brownjo05,488740,49269,1098899,29368,4121
